,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
771,Henderson State University,Arkadelphia,AR,1,2829,0.5543415756,0.44565842440000003,0.1278,21.0,0.7968,0.3325,35700.0,20050.0,0.771132835,30416.0,20913.0,5971.0,3788
772,Jacksonville University,Jacksonville,FL,2,2829,0.664921466,0.335078534,0.3417,26.0,0.867,0.4308,50500.0,21584.5,0.8763089005,46900.0,50466.0,7429.0,15394
773,College of the Holy Cross,Worcester,MA,2,2827,0.526439483,0.473560517,0.0004,19.0,0.396,0.9228,71000.0,28000.0,0.9494712103,106778.0,63968.0,11142.0,28991
774,Oberlin College,Oberlin,OH,2,2827,0.5568,0.44320000000000004,0.0032,19.0,0.3372,0.8627,40800.0,27000.0,0.9504,111580.0,68670.0,10778.0,30974
775,SUNY Morrisville,Morrisville,NY,1,2815,0.4966793169,0.5033206831,0.175,21.0,0.7152,0.2812,35200.0,19192.0,0.9112903226,37974.0,25544.0,5951.0,4455
776,Citadel Military College of South Carolina,Charleston,SC,1,2814,0.1184336199,0.8815663801,0.1005,21.0,0.8107,0.7343,56800.0,22490.0,0.8987583572,70469.0,27838.0,8705.0,11772
777,Athens State University,Athens,AL,1,2801,0.705078125,0.294921875,0.6377,30.0,,,38700.0,18000.0,0.81640625,29645.0,,8268.0,6713
778,University of Maryland Eastern Shore,Princess Anne,MD,1,2799,0.5885969816,0.41140301840000004,0.1276,20.0,0.3901,0.3824,36600.0,27868.5,0.8697596423,34148.0,22192.0,8235.0,4214
779,Fresno Pacific University,Fresno,CA,2,2791,0.7451317297,0.25486827030000003,0.558,28.0,0.7239,0.6538,43900.0,21500.0,0.881443299,31830.0,38420.0,7065.0,13676
780,Elmhurst College,Elmhurst,IL,2,2782,0.6074289876,0.39257101240000003,0.1346,21.0,0.7053,0.6436,48300.0,21500.0,0.8754552076,49618.0,44861.0,7967.0,15793
781,Bethel University,Saint Paul,MN,2,2777,0.6357027464,0.3642972536,0.1493,23.0,0.835,0.7052,47300.0,23445.0,0.9337641357,77425.0,48485.0,7780.0,17139
782,University of Pittsburgh-Johnstown,Johnstown,PA,1,2776,0.529968119,0.47003188100000004,0.042,20.0,0.7598,0.4675,53900.0,26899.0,0.9472901169,81308.0,26606.0,7187.0,11926
783,Anderson University,Anderson,SC,2,2776,0.6955882353,0.3044117647,0.1277,22.0,0.7907,0.5673,35200.0,27000.0,0.9213235294,64915.0,40115.0,6507.0,14195
784,Illinois Institute of Technology,Chicago,IL,2,2763,0.3001132503,0.6998867497,0.129,21.0,0.5403,0.7223,69100.0,27000.0,0.8516421291,39719.0,60489.0,12391.0,21204
785,Saint Mary's College of California,Moraga,CA,2,2762,0.629740519,0.37025948099999995,0.0735,20.0,0.8162,0.764,56300.0,24687.5,0.9331337325,72847.0,62974.0,10170.0,24326
786,University of Hawaii-West Oahu,Kapolei,HI,1,2747,0.7033492823,0.29665071769999996,0.4062,27.0,0.7875,0.3889,38600.0,14544.0,0.6124401914,28758.0,14029.0,9262.0,5505
787,Indiana University-Kokomo,Kokomo,IN,1,2746,0.6779769526,0.3220230474,0.2312,24.0,0.7028,0.3892,36200.0,18914.0,0.728553137,41864.0,15189.0,6119.0,5851
788,Black Hills State University,Spearfish,SD,1,2736,0.6218809981,0.37811900190000003,0.223,22.0,0.8695,0.3532,35900.0,25500.0,0.9001919386,51046.0,19197.0,6840.0,6386
789,Fairleigh Dickinson University-Florham Campus,Madison,NJ,2,2731,0.5880294015,0.41197059849999995,0.0313,22.0,0.839,0.547,48100.0,25000.0,0.8998949947,39799.0,54839.0,9164.0,26435
790,Furman,Greenville,SC,2,2728,0.5850556439,0.4149443561,0.0227,20.0,0.6118,0.8051,51200.0,26000.0,0.9093799682,83896.0,62661.0,9819.0,21330
791,Saint John Fisher College,Rochester,NY,2,2724,0.6097222222,0.39027777779999995,0.084,21.0,0.6453,0.7409,47800.0,23500.0,0.9597222222,73191.0,45298.0,9216.0,20328
792,Western New England University,Springfield,MA,2,2723,0.3827247191,0.6172752809,0.0409,19.0,0.8071,0.592,54900.0,26800.0,0.9803370787,83848.0,49541.0,9340.0,20993
793,Carthage College,Kenosha,WI,2,2723,0.5505535055,0.44944649449999996,0.0573,20.0,0.6787,0.5979,44700.0,27000.0,0.9653136531,80809.0,53282.0,6047.0,15713
794,Lander University,Greenwood,SC,1,2722,0.7127507163,0.2872492837,0.0592,20.0,0.4757,0.4235,34200.0,27000.0,0.9025787966,40987.0,22814.0,6115.0,6030
795,Yeshiva University,New York,NY,2,2703,0.5162393162,0.48376068380000004,0.0047,19.0,0.6282,0.8163,58500.0,20500.0,0.694017094,63623.0,58845.0,12238.0,17638
796,North Central College,Naperville,IL,2,2688,0.5386363636,0.4613636364,0.0444,20.0,0.544,0.6883,47800.0,25000.0,0.95,77267.0,47436.0,8359.0,17130
797,Indiana Wesleyan University-Marion,Marion,IN,2,2685,0.7298892989,0.2701107011,0.0339,31.0,0.7202,0.6282,49900.0,23958.0,0.8857564576,35007.0,36871.0,7017.0,14242
798,George Fox University,Newberg,OR,2,2678,0.5617623918,0.4382376082,0.1245,22.0,0.8189,0.7168,45100.0,23000.0,0.9221085759,65806.0,46653.0,7592.0,17889
799,Le Moyne College,Syracuse,NY,2,2676,0.6018651363,0.39813486369999995,0.0764,20.0,0.6395,0.7362,49600.0,24374.5,0.9490674319,74353.0,46207.0,8948.0,15296
800,Flagler College-St Augustine,Saint Augustine,FL,2,2674,0.6926470588,0.3073529412,0.0628,22.0,0.5659,0.5507,38900.0,23250.0,0.9088235294,53601.0,31600.0,6417.0,14840
801,University of Detroit Mercy,Detroit,MI,2,2674,0.6795803067,0.3204196933,0.165,23.0,0.6471,0.6219,47100.0,23250.0,0.9047619048,43983.0,50915.0,9299.0,24914
802,Pacific Lutheran University,Tacoma,WA,2,2672,0.6463414634,0.3536585366,0.111,21.0,0.7539,0.7045,49400.0,25847.0,0.8754355401,59189.0,51433.0,7625.0,18855
803,Moody Bible Institute,Chicago,IL,2,2671,0.450229709,0.549770291,0.301,24.0,0.6589,0.594,,,,27275.0,26962.0,8409.0,7157
804,Messiah College,Mechanicsburg,PA,2,2670,0.6336088154,0.3663911846,0.0181,19.0,0.7701,0.8052,45100.0,25000.0,0.9687786961,85483.0,45919.0,8582.0,17091
805,Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia,PA,2,2669,0.7252440725,0.2747559275,0.2257,24.0,0.5966,0.661,51200.0,27000.0,0.9393305439,44235.0,55178.0,8194.0,20391
806,University of North Texas at Dallas,Dallas,TX,1,2663,0.7336792045,0.2663207955,0.4652,28.0,0.7397,0.2632,45000.0,10232.0,0.6567228707,24968.0,14944.0,9172.0,6918
807,Louisiana State University-Alexandria,Alexandria,LA,1,2662,0.6816655473,0.31833445270000005,0.2868,24.0,0.3107,0.2617,33700.0,18454.0,0.7528542646,32073.0,14566.0,5833.0,5270
808,Skidmore College,Saratoga Springs,NY,2,2659,0.6302521008,0.36974789919999995,0.0063,19.0,0.2452,0.8703,49700.0,19500.0,0.8907563025,78843.0,67000.0,9661.0,34444
809,New England Institute of Technology,East Greenwich,RI,2,2658,0.3656983685,0.6343016315000001,0.3766,24.0,,0.5241,42800.0,20000.0,0.9239952248,30450.0,35932.0,6603.0,18475
810,Husson University,Bangor,ME,2,2652,0.533425224,0.46657477599999997,0.1669,21.0,0.8627,0.5455,,24732.0,0.9572708477,53850.0,28889.0,7289.0,12525
811,Charter College,Vancouver,WA,3,2640,0.7612694562,0.23873054380000003,0.6071,28.0,,0.4749,39800.0,14875.0,0.9011522135,18566.0,35332.0,4612.0,6305
812,The University of Findlay,Findlay,OH,2,2637,0.680155642,0.319844358,0.073,20.0,0.7508,0.6129,43200.0,25000.0,0.940077821,67984.0,43588.0,7402.0,15171
813,Pennsylvania State University-Penn State Berks,Reading,PA,1,2635,0.5012260053,0.49877399469999995,0.0997,21.0,0.857,0.5713,50100.0,26120.0,0.9024450049,61924.0,28088.0,8446.0,5897
814,Augustana College,Rock Island,IL,2,2634,0.5883977901,0.41160220989999996,0.0068,19.0,0.5896,0.7486,52000.0,27000.0,0.9723756906,90216.0,51464.0,7770.0,17024
815,Skagit Valley College,Mount Vernon,WA,1,2634,0.6227436823,0.3772563177,0.4396,27.0,,0.2121,32500.0,11674.0,0.2671480144,22051.0,12682.0,7496.0,2574
816,Beth Medrash Govoha,Lakewood,NJ,2,2629,,,0.4386,23.0,,,25300.0,5500.0,,16524.0,,6879.0,2774
817,Lake Michigan College,Benton Harbor,MI,1,2629,0.6254901961,0.3745098039,0.2686,23.0,,0.1423,24100.0,11500.0,0.3581699346,21778.0,12922.0,7258.0,3361
818,The College of Saint Scholastica,Duluth,MN,2,2626,0.7551020408,0.24489795920000001,0.2926,26.0,0.6825,0.6694,51400.0,20197.0,0.9315726291,58385.0,47344.0,7036.0,14807
819,University of Hawaii Maui College,Kahului,HI,1,2621,0.6027272727,0.39727272729999996,0.3852,26.0,,0.1677,29900.0,14507.0,0.3290909091,21722.0,14924.0,8250.0,2938
820,Gannon University,Erie,PA,2,2616,0.6236933798,0.37630662020000005,0.0608,20.0,0.799,0.6815,48100.0,27000.0,0.9320557491,70028.0,42638.0,7800.0,16982
821,Rollins College,Winter Park,FL,2,2612,0.6425,0.35750000000000004,0.1497,22.0,0.6389,0.7532,45700.0,25251.0,0.875,43978.0,64422.0,7930.0,19381
822,Wayne State College,Wayne,NE,1,2610,0.5753623188,0.4246376812,0.0874,21.0,,0.5089,36100.0,19921.5,0.8405797101,56926.0,17371.0,7288.0,4457
823,Milwaukee School of Engineering,Milwaukee,WI,2,2605,0.2927970065,0.7072029934999999,0.1172,21.0,0.6284,0.6689,71300.0,27000.0,0.9307764266,68352.0,49230.0,9252.0,15749
824,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,2,2598,0.1816434407,0.8183565593,0.0925,25.0,0.7652,0.596,66200.0,24250.0,0.6299855839,38662.0,49912.0,9069.0,26090
825,East Georgia State College,Swainsboro,GA,1,2596,0.5818441744,0.4181558256,0.0823,20.0,,0.0623,31500.0,12000.0,0.6872766262,25909.0,9556.0,4706.0,1819
826,University of Arkansas at Monticello,Monticello,AR,1,2589,0.537007874,0.46299212599999995,0.1653,23.0,,0.2323,31500.0,14000.0,0.7459317585,23351.0,17690.0,5685.0,4008
827,Wingate University,Wingate,NC,2,2586,0.6455026455,0.3544973545,0.0382,20.0,0.9324,0.5234,43200.0,26500.0,0.8906525573,57959.0,42600.0,7545.0,12423
828,Concordia University-Saint Paul,Saint Paul,MN,2,2575,0.6072526122,0.39274738779999996,0.4484,27.0,0.5487,0.5533,49200.0,21198.0,0.9200983405,42756.0,31603.0,4853.0,11863
829,Mount Saint Mary's University,Los Angeles,CA,2,2575,0.9312461633,0.06875383670000002,0.239,23.0,0.8121,0.658,53200.0,26000.0,0.9404542664,35520.0,52180.0,8937.0,23410
830,Capital University,Columbus,OH,2,2573,0.6257022472,0.3742977528,0.1304,21.0,0.6865,0.5884,44000.0,26993.0,0.9508426966,61200.0,46295.0,8475.0,13145
831,Lafayette College,Easton,PA,2,2567,0.5793991416,0.42060085840000005,0.0039,19.0,0.3081,0.8995,68600.0,24788.0,0.9227467811,111341.0,66105.0,11810.0,31151
832,Florida Southern College,Lakeland,FL,2,2561,0.6856899489,0.3143100511,0.091,21.0,0.5146,0.6322,41400.0,24880.0,0.9131175468,66112.0,46054.0,8000.0,17118
833,Saint Peter's University,Jersey City,NJ,2,2547,0.6389891697,0.36101083030000003,0.1388,21.0,0.9129,0.5372,45800.0,23800.0,0.6953068592,28451.0,44757.0,8789.0,17212
834,Miami University-Hamilton,Hamilton,OH,1,2545,0.541991342,0.458008658,0.2335,20.0,,0.2552,47100.0,23951.5,0.8813852814,79777.0,13463.0,6980.0,6283
835,Barnard College,New York,NY,2,2540,,,0.0028,19.0,0.1542,0.9274,57900.0,18000.0,0.84,66094.0,68512.0,13414.0,33492
836,Curry College,Milton,MA,2,2535,0.6135371179,0.3864628821,0.2148,22.0,0.9005,0.5248,45900.0,26000.0,0.961426492,64734.0,53433.0,9884.0,19620
837,Loyola University New Orleans,New Orleans,LA,2,2534,0.6433239963,0.35667600369999997,0.05,20.0,0.6911,0.5623,47100.0,27000.0,0.9197012138,62000.0,52428.0,8794.0,15956
838,Middlebury College,Middlebury,VT,2,2532,0.53432282,0.46567718,0.0008,20.0,0.171,0.9452,58200.0,13625.0,0.8441558442,57882.0,66332.0,11165.0,42932
839,Eastern Oregon University,La Grande,OR,1,2526,0.5973931933,0.40260680670000004,0.4428,26.0,0.9773,0.3072,41200.0,22107.0,0.8334540188,32240.0,20491.0,7036.0,6515
840,The College of New Rochelle,New Rochelle,NY,2,2521,0.8272727273,0.1727272727,0.6753,30.0,0.6757,0.3333,33900.0,23000.0,0.6325757576,23611.0,48759.0,6505.0,15167
841,Smith College,Northampton,MA,2,2519,,,0.0393,20.0,0.3187,0.8804,46200.0,19000.0,0.9037227214,70695.0,66647.0,11970.0,23874
842,Ohio State University-Newark Campus,Newark,OH,1,2518,0.5203439089,0.47965609109999996,0.0794,20.0,,0.3812,46100.0,21500.0,0.8563816905,64713.0,19342.0,9626.0,6739
843,University of Arkansas at Pine Bluff,Pine Bluff,AR,1,2510,0.5960854093,0.4039145907,0.1101,21.0,0.4669,0.2855,27200.0,26196.5,0.7473309609,22300.0,16264.0,5851.0,3002
844,Stonehill College,Easton,MA,2,2494,0.6086086086,0.3913913914,0.0052,19.0,0.7212,0.8007,60800.0,27000.0,0.978978979,111481.0,56439.0,9305.0,19286
845,Limestone College,Gaffney,SC,2,2491,0.5612732095,0.43872679049999996,0.4551,27.0,0.5045,0.4336,37400.0,26161.5,0.9427055703,29120.0,39156.0,5145.0,12308
846,The College of Saint Rose,Albany,NY,2,2490,0.6957726958,0.3042273042,0.0539,20.0,0.8273,0.5859,43800.0,23250.0,0.9452529453,52000.0,45361.0,7991.0,14472
847,South Carolina State University,Orangeburg,SC,1,2489,0.4902527076,0.5097472923999999,0.0828,20.0,0.7826,0.3598,29800.0,32073.0,0.9184115523,22852.0,29355.0,7226.0,9793
848,Southern Adventist University,Collegedale,TN,2,2486,0.592864638,0.407135362,0.1123,21.0,,0.5235,38500.0,26875.0,0.8919202518,50894.0,32129.0,4707.0,14777
849,Roosevelt University,Chicago,IL,2,2485,0.6615276804,0.3384723196,0.2622,23.0,0.6951,0.3986,43600.0,24499.5,0.926419061,33434.0,43251.0,8488.0,21242
850,Palm Beach Atlantic University,West Palm Beach,FL,2,2475,0.6783216783,0.3216783217,0.1012,22.0,0.9739,0.5305,40600.0,22250.0,0.8942307692,52817.0,43005.0,7607.0,16432
851,Bellarmine University,Louisville,KY,2,2474,0.6793703397,0.32062966029999995,0.0539,20.0,0.8925,0.6454,45700.0,25000.0,0.9312344656,68249.0,53640.0,8062.0,17573
852,Sullivan University,Louisville,KY,3,2471,0.662571977,0.33742802299999997,0.6712,28.0,,0.3172,31400.0,23587.0,0.8310940499,22309.0,32334.0,6666.0,15426
853,Minot State University,Minot,ND,1,2466,0.6205450734,0.3794549266,0.25,23.0,0.6897,0.3701,41200.0,18349.0,0.8679245283,51786.0,15483.0,7219.0,5869
854,Coppin State University,Baltimore,MD,1,2459,0.7749453751,0.22505462490000006,0.414,26.0,0.3651,0.2448,38100.0,23750.0,0.798980335,26331.0,17848.0,7680.0,2008
855,Mercyhurst University,Erie,PA,2,2448,0.5677025527,0.43229744729999997,0.0542,22.0,0.6992,0.6831,40300.0,26850.0,0.9400665927,51028.0,47803.0,7224.0,14164
856,Yakima Valley College,Yakima,WA,1,2416,0.6475409836,0.3524590164,0.3105,24.0,,0.2395,33300.0,11000.0,0.2877959927,23450.0,13203.0,6913.0,2179
857,University of Puget Sound,Tacoma,WA,2,2413,0.6393861893,0.3606138107,0.0137,20.0,0.8387,0.7807,52700.0,26696.5,0.9603580563,90104.0,61652.0,10439.0,31851
858,Gettysburg College,Gettysburg,PA,2,2411,0.5353403141,0.46465968589999995,0.0025,19.0,0.458,0.8358,56100.0,23000.0,0.9581151832,107337.0,64500.0,9595.0,30535
859,Belhaven University,Jackson,MS,2,2410,0.6828143022,0.31718569780000005,0.5157,30.0,0.5912,0.4932,37300.0,27000.0,0.937716263,26444.0,34031.0,6331.0,11836
860,Augsburg University,Minneapolis,MN,2,2405,0.5464480874,0.45355191260000005,0.199,22.0,0.6458,0.6211,46800.0,27000.0,0.8711943794,41360.0,49649.0,7591.0,16654
861,Trinity University,San Antonio,TX,2,2393,0.5405405405,0.4594594595,0.0046,19.0,0.3844,0.7972,54900.0,26000.0,0.902027027,84259.0,54714.0,10866.0,17740
862,Wilkes University,Wilkes-Barre,PA,2,2379,0.535221496,0.464778504,0.0947,21.0,0.7531,0.5974,51600.0,25668.5,0.9644153958,62518.0,48410.0,9081.0,17490
863,Wellesley College,Wellesley,MA,2,2375,,,0.0156,19.0,0.2208,0.8883,60800.0,10000.0,0.6717557252,59989.0,65966.0,12371.0,22392
864,St Lawrence University,Canton,NY,2,2373,0.5958549223,0.40414507769999997,0.0058,19.0,0.4833,0.854,50100.0,26786.0,0.939119171,84830.0,66040.0,9511.0,23666
865,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,3,2367,0.8902821317,0.10971786829999997,0.1673,21.0,0.3947,0.7423,37200.0,14167.0,0.9692789969,44590.0,48738.0,3620.0,29217
866,Bob Jones University,Greenville,SC,3,2367,0.5588235294,0.4411764706,0.0299,19.0,0.8616,0.6695,,17868.0,0.6682352941,51346.0,24090.0,4394.0,11606
867,Otterbein University,Westerville,OH,2,2367,0.59375,0.40625,0.0512,20.0,0.764,0.6367,43100.0,27000.0,0.9375,75003.0,44574.0,7419.0,15243
868,Campbellsville University,Campbellsville,KY,2,2365,0.6151012891,0.38489871090000005,0.1633,24.0,0.6859,0.3366,33700.0,20612.5,0.8514426028,34000.0,37117.0,5211.0,10517
869,University of New England,Biddeford,ME,2,2360,0.7390681004,0.26093189959999996,0.2878,20.0,0.8074,0.59,46300.0,27000.0,0.9799283154,84109.0,52449.0,8663.0,23171
870,Delta State University,Cleveland,MS,1,2360,0.6045627376,0.3954372624,0.1294,22.0,0.8692,0.3963,33700.0,18000.0,0.8486692015,25245.0,18668.0,6284.0,4952
871,Wheaton College,Wheaton,IL,2,2356,0.527700831,0.472299169,0.0079,19.0,0.85,0.8893,48400.0,22437.0,0.9473684211,89742.0,46199.0,9082.0,20090
872,Saint Ambrose University,Davenport,IA,2,2354,0.595194085,0.40480591499999996,0.1204,21.0,0.6081,0.6325,47300.0,25500.0,0.9445471349,69543.0,42922.0,7359.0,15786
873,Georgia Southwestern State University,Americus,GA,1,2348,0.6595441595,0.3404558405,0.2425,24.0,0.6747,0.255,36400.0,19444.5,0.8461538462,35856.0,19522.0,6130.0,5035
874,Babson College,Babson Park,MA,2,2342,0.4822134387,0.5177865613,0.0034,19.0,0.2418,0.9215,96100.0,26000.0,0.9169960474,91204.0,66564.0,16318.0,33655
875,Dickinson College,Carlisle,PA,2,2339,0.5716639209,0.42833607910000004,0.0059,19.0,0.4871,0.8298,57400.0,21000.0,0.9373970346,100109.0,66660.0,9136.0,27867
876,Muhlenberg College,Allentown,PA,2,2329,0.5819672131,0.4180327869,0.0566,20.0,0.4836,0.8647,59400.0,26994.5,0.9480874317,105406.0,62114.0,8885.0,23679
877,University of Montevallo,Montevallo,AL,1,2329,0.6827586207,0.31724137929999996,0.0874,21.0,0.6445,0.503,34200.0,24264.0,0.8748768473,43813.0,23938.0,7451.0,8422
878,Fort Valley State University,Fort Valley,GA,1,2329,0.5739848589,0.42601514110000005,0.1416,21.0,0.4366,0.2593,30900.0,35980.0,0.9380591879,22382.0,19655.0,5941.0,3613
879,Grove City College,Grove City,PA,2,2327,,,0.0008,,0.7987,0.8314,,,,,,,16582
880,Canisius College,Buffalo,NY,2,2324,0.5408805031,0.4591194969,0.035,19.0,0.7819,0.6934,47300.0,25000.0,0.9317160827,65323.0,46994.0,8419.0,15906
881,Vassar College,Poughkeepsie,NY,2,2323,0.5671232877,0.4328767123,0.0157,19.0,0.2378,0.9073,54600.0,16250.0,0.7246575342,71194.0,67740.0,11566.0,28385
882,Denison University,Granville,OH,2,2321,0.5775316456,0.42246835439999997,0.0068,19.0,0.3724,0.8647,48800.0,27000.0,0.9398734177,77800.0,63023.0,8875.0,19241
883,St. Mary's University,San Antonio,TX,2,2310,0.5690168818,0.4309831182,0.0765,20.0,0.799,0.6279,46600.0,27000.0,0.9016881827,37985.0,40087.0,10056.0,16766
884,Mississippi University for Women,Columbus,MS,1,2302,0.8681318681,0.13186813190000002,0.2631,26.0,0.9802,0.4382,34100.0,14000.0,0.8454212454,28585.0,18192.0,6206.0,5227
885,Houston Baptist University,Houston,TX,2,2302,0.6459016393,0.3540983607,0.1226,22.0,0.6901,0.4819,45800.0,24225.0,0.8483606557,38544.0,40742.0,6872.0,13149
886,DeVry University-California,Pomona,CA,3,2301,0.6059049017,0.3940950983,0.7886,31.0,0.9014,0.3203,44100.0,35766.5,0.8188157573,22648.0,33323.0,8075.0,19270
887,Pima Medical Institute-Tucson,Tucson,AZ,3,2300,0.8313038083,0.16869619170000005,0.6861,26.0,,0.686,28800.0,8708.0,0.8846660979,21596.0,,5624.0,6438
888,South Dakota School of Mines and Technology,Rapid City,SD,1,2295,0.2246192893,0.7753807107,0.1016,20.0,0.8339,0.5074,56500.0,27000.0,0.9225888325,76508.0,23835.0,9453.0,9773
889,Madonna University,Livonia,MI,2,2291,0.6872294372,0.31277056280000004,0.3074,25.0,0.7433,0.6897,40900.0,25000.0,0.9069264069,30676.0,29820.0,7398.0,13599
890,DeSales University,Center Valley,PA,2,2291,0.6571428571,0.3428571429,0.2384,23.0,0.7379,0.7011,49700.0,25334.0,0.9567346939,65095.0,48987.0,7707.0,16584
891,Strayer University-Maryland,Suitland,MD,3,2286,0.7508344853,0.24916551470000003,0.8875,33.0,,0.4737,45900.0,34239.5,0.9108870832,18178.0,27744.0,6956.0,13615
892,Florida Gateway College,Lake City,FL,1,2285,0.6241935484,0.37580645160000004,0.3354,26.0,,0.4113,29500.0,4500.0,0.1709677419,21618.0,9312.0,5533.0,1434
893,Susquehanna University,Selinsgrove,PA,2,2283,0.5637209302,0.4362790698,0.0179,19.0,0.6953,0.7062,54100.0,27000.0,0.976744186,85160.0,57252.0,8093.0,17623
894,Faulkner University,Montgomery,AL,2,2272,0.6387315968,0.3612684032,0.4188,28.0,0.5101,0.2801,35400.0,22850.0,0.9105322763,24037.0,31720.0,5702.0,11037
895,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,1,2270,0.5370251127,0.4629748873,0.0777,20.0,0.9427,0.4433,35000.0,17250.0,0.8840952994,42165.0,23712.0,6369.0,4441
896,Franklin and Marshall College,Lancaster,PA,2,2269,0.5658536585,0.4341463415,0.0031,19.0,0.3411,0.8552,58900.0,22000.0,0.9382113821,84574.0,67813.0,9686.0,30509
897,St Francis College,Brooklyn Heights,NY,2,2267,0.6444232602,0.35557673980000004,0.125,21.0,0.6321,0.4714,45700.0,25000.0,0.7502383222,34236.0,30444.0,9212.0,16687
898,Xavier University of Louisiana,New Orleans,LA,2,2266,0.7478510029,0.25214899710000005,0.0345,19.0,0.6408,0.4401,49800.0,25005.0,0.8416905444,33111.0,33593.0,8650.0,17881
899,Southwest Baptist University,Bolivar,MO,2,2252,0.6520119225,0.34798807750000005,0.1875,23.0,0.732,0.4538,33700.0,21735.0,0.8308494784,35563.0,32924.0,5838.0,9806
900,Cascadia College,Bothell,WA,1,2241,0.5022026432,0.49779735680000003,0.1521,24.0,,0.2862,42000.0,7190.0,0.3832599119,24826.0,14854.0,6796.0,2920
901,University of Wisconsin-Superior,Superior,WI,1,2241,0.6422764228,0.35772357720000003,0.2832,24.0,0.7618,0.434,36700.0,23500.0,0.8861788618,47927.0,17820.0,6352.0,5932
902,Marymount University,Arlington,VA,2,2241,0.7027559055,0.2972440945,0.1892,22.0,0.9226,0.5348,53600.0,25000.0,0.9212598425,46409.0,44561.0,8399.0,21098
903,Atlanta Metropolitan State College,Atlanta,GA,1,2238,0.6287037037,0.37129629630000005,0.3579,24.0,,0.0902,28000.0,8750.0,0.4569444444,16404.0,10497.0,5351.0,2326
904,University of Cincinnati-Clermont College,Batavia,OH,1,2238,0.5598467922,0.4401532078,0.2554,22.0,,0.2459,42300.0,22500.0,0.8730450048,57821.0,15551.0,8283.0,6927
905,Louisiana State University-Shreveport,Shreveport,LA,1,2237,0.6644897959,0.3355102041,0.2707,24.0,0.8384,0.3048,35700.0,20577.0,0.7812244898,25731.0,16850.0,6879.0,7376
906,Arcadia University,Glenside,PA,2,2233,0.6840417001,0.3159582999,0.0427,20.0,0.6229,0.6627,44100.0,27000.0,0.9647153168,66802.0,55841.0,7779.0,16707
907,Alvernia University,Reading,PA,2,2231,0.7112387203,0.2887612797,0.2883,24.0,0.7081,0.5984,44500.0,27000.0,0.9622641509,52761.0,44970.0,7252.0,18059
908,Whitworth University,Spokane,WA,2,2227,0.646684832,0.35331516799999996,0.024,22.0,0.8901,0.7495,42100.0,26000.0,0.931880109,63155.0,55273.0,7271.0,17268
909,Hobart William Smith Colleges,Geneva,NY,2,2220,0.5119680851,0.4880319149,0.004,19.0,0.6392,0.8088,53500.0,27000.0,0.9587765957,111824.0,67316.0,9505.0,28937
910,Gardner-Webb University,Boiling Springs,NC,2,2210,0.6739130435,0.32608695649999997,0.2835,25.0,0.527,0.4912,38700.0,24750.0,0.899068323,36485.0,42768.0,6884.0,12981
911,Oklahoma State University Institute of Technology,Okmulgee,OK,1,2210,0.3762793498,0.6237206502,0.2696,24.0,,0.3222,35300.0,12000.0,0.7543648405,29751.0,14169.0,4577.0,3058
912,Sul Ross State University,Alpine,TX,1,2208,0.5453857791,0.45461422090000003,0.3173,23.0,0.9963,0.2222,37900.0,11244.5,0.6822995461,26794.0,19544.0,6168.0,3587
913,Clark University,Worcester,MA,2,2205,0.6560846561,0.3439153439,0.0156,19.0,0.5627,0.8284,49100.0,27000.0,0.9669312169,77506.0,53086.0,10701.0,18428
914,Springfield College,Springfield,MA,2,2204,0.5983240223,0.40167597769999996,0.0314,27.0,0.6989,0.7405,45100.0,25000.0,0.9608938547,46944.0,49986.0,7982.0,17390
915,Morehouse College,Atlanta,GA,2,2199,,,0.0272,19.0,0.7441,0.5524,41800.0,26000.0,0.9334485739,39421.0,47888.0,6417.0,14610
916,Lawrence Technological University,Southfield,MI,2,2191,0.2814930016,0.7185069984,0.1524,21.0,0.5964,0.5357,55300.0,27000.0,0.9160186625,63637.0,44311.0,7503.0,22123
917,Siena Heights University,Adrian,MI,2,2189,0.6367064739,0.3632935261,0.4283,28.0,0.6712,0.4271,42000.0,17250.0,0.9233186675,38665.0,36344.0,6258.0,10929
918,Mount Holyoke College,South Hadley,MA,2,2186,,,0.0489,20.0,0.5084,0.8615,48600.0,21250.0,0.942339374,68909.0,61118.0,10304.0,21593
919,Lynn University,Boca Raton,FL,2,2182,0.5967016492,0.4032983508,0.1103,21.0,0.8463,0.5123,39300.0,17875.0,0.8575712144,41024.0,53268.0,5328.0,21515
920,Nazareth College,Rochester,NY,2,2175,0.7355932203,0.26440677970000004,0.0565,20.0,0.6264,0.6674,44300.0,26582.0,0.9618644068,78894.0,47375.0,8327.0,19959
